date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:16%20GMT	http://www.mscepune.in/gccsec/Darpatrak12042022.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/Darpatrak12042022.53.delayed	(from https://www.mscepune.in/)
00:24:31	3498769/3498769	---M--	200	added ('OK')	application/pdf	etag:%22ca674479ff12da1:0%22	http://www.mscepune.in/GCC/path/nut%20bolt%2009.11.2023.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/nut%20bolt%2009.11.2023.pdf	(from https://www.mscepune.in/)
00:24:41	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:19%20GMT	https://www.mscepune.in/NTSNmsSec/BARTI_200315.pdf	/home/paresh/websites/mst/www.mscepune.in/NTSNmsSec/BARTI_200315.54.delayed	(from https://www.mscepune.in/)
00:24:43	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:54:43%20GMT	https://www.mscepune.in/gccSec/CopmuterTypingNote_280515.jpg	/home/paresh/websites/mst/www.mscepune.in/gccSec/CopmuterTypingNote_280515.55.delayed	(from https://www.mscepune.in/)
00:24:46	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:54:45%20GMT	https://www.mscepune.in/gccsec/Gundan_Yojana.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/Gundan_Yojana.56.delayed	(from https://www.mscepune.in/)
00:24:48	3926/3926	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:54:48%20GMT	https://www.mscepune.in/gcc/FrmGccNiyamavali2014.aspx	/home/paresh/websites/mst/www.mscepune.in/gcc/FrmGccNiyamavali2014.57.delayed	(from https://www.mscepune.in/)
00:24:51	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:54:50%20GMT	https://www.mscepune.in/gccSec/GCC_TBC_30_170615.pdf	/home/paresh/websites/mst/www.mscepune.in/gccSec/GCC_TBC_30_170615.58.delayed	(from https://www.mscepune.in/)
00:24:53	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:54:53%20GMT	https://www.mscepune.in/gccSec/GCC_TBC_40_170615.pdf	/home/paresh/websites/mst/www.mscepune.in/gccSec/GCC_TBC_40_170615.59.delayed	(from https://www.mscepune.in/)
00:24:56	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:54:55%20GMT	https://www.mscepune.in/gccSec/GCC_SSD_CTC_1706015.pdf	/home/paresh/websites/mst/www.mscepune.in/gccSec/GCC_SSD_CTC_1706015.5a.delayed	(from https://www.mscepune.in/)
00:25:00	820881/820881	---M--	200	added ('OK')	application/pdf	etag:%22ec187ac63767db1:0%22	https://www.mscepune.in/gcc/path/RIMC%20NOTIFICATION%202025_250115_111104.pdf	/home/paresh/websites/mst/www.mscepune.in/gcc/path/RIMC%20NOTIFICATION%202025_250115_111104.pdf	(from https://www.mscepune.in/)
00:25:02	9456/9456	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2018:55:01%20GMT	https://www.mscepune.in/gcc/RIMC_SeatNo_December2024.aspx	/home/paresh/websites/mst/www.mscepune.in/gcc/RIMC_SeatNo_December2024.html	(from https://www.mscepune.in/)
00:25:04	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:55:04%20GMT	https://www.mscepune.in/ntsnmms2022/NTS%20PRESS%20NOTE.pdf	/home/paresh/websites/mst/www.mscepune.in/ntsnmms2022/NTS%20PRESS%20NOTE.5d.delayed	(from https://www.mscepune.in/)
00:25:07	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:55:07%20GMT	https://www.mscepune.in/NTSNmsSec/2021_2022/NTS02.jpg	/home/paresh/websites/mst/www.mscepune.in/NTSNmsSec/2021_2022/NTS02.5e.delayed	(from https://www.mscepune.in/)
00:25:10	1686/1686	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2018:55:09%20GMT	https://www.ntsemsce.in/pdf/JAHIR%20PRAKATAN.pdf	/home/paresh/websites/mst/www.ntsemsce.in/pdf/JAHIR%20PRAKATAN.html	(from https://www.mscepune.in/)
00:25:12	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:55:12%20GMT	https://www.mscepune.in/NTSNmsSec/2021_2022/NOTIFICATION%20NTS%202021-2022.pdf	/home/paresh/websites/mst/www.mscepune.in/NTSNmsSec/2021_2022/NOTIFICATION%20NTS%202021-2022.60.delayed	(from https://www.mscepune.in/)
00:25:14	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:55:14%20GMT	https://www.mscepune.in/NTSNmsSec/2021_2022/PRESSNOTE%20NTS%202021_2022.pdf	/home/paresh/websites/mst/www.mscepune.in/NTSNmsSec/2021_2022/PRESSNOTE%20NTS%202021_2022.61.delayed	(from https://www.mscepune.in/)
00:25:17	730/730	---M--	200	added ('OK')	image/gif	etag:%22e7d7c4804968d91:0%22	https://www.mscepune.in/gcc/blinking_new.gif	/home/paresh/websites/mst/www.mscepune.in/gcc/blinking_new.gif	(from https://www.mscepune.in/)
00:25:23	3005053/3005053	---M--	200	added ('OK')	application/pdf	etag:%22e627461bd676dd7d7d67079b3bca22cd%22	https://mscenmms.s3.ap-south-1.amazonaws.com/Information/Notification_Note.pdf	/home/paresh/websites/mst/mscenmms.s3.ap-south-1.amazonaws.com/Information/Notification_Note.pdf	(from https://www.mscepune.in/)
00:25:24	207044/207044	---M--	200	added ('OK')	image/jpeg	etag:%221b705ffd8a8edb1:0%22	https://mscepune.in/gcc/dept2024/dept2024New/PDF/RESULT/NEW/LIPIK.jpeg	/home/paresh/websites/mst/mscepune.in/gcc/dept2024/dept2024New/PDF/RESULT/NEW/LIPIK.jpg	(from https://www.mscepune.in/)
